"","Day","Month","Year","SiteCode","Watershed","Ammonia","Nitrate","NPOC","Phosphorus","TDN","TN","TP","DON"
"52",3,8,15,"RB_FD_AA","Red Butte",0.2532,0.3786,NA,0.3786,NA,NA,NA,NA
"53",3,8,15,"RB_LDS","Red Butte",0.1394,1.8109,NA,1.8109,NA,NA,NA,NA
"54",3,8,15,"RB_RBG_BA","Red Butte",0.022,0.1674,NA,0.1674,NA,0.3852,0.0944,NA
"55",3,9,14,"PR_BJ_AA","Provo",NA,NA,5.632555556,NA,1.167777778,0.2357,0.0057,NA
"56",3,9,14,"PR_CanyonViewPark","Provo",NA,NA,1.287222222,NA,0.880555556,NA,NA,NA
"57",3,9,14,"PR_CH_AA","Provo",NA,NA,3.370111111,NA,0.262,NA,NA,NA
"58",3,9,14,"PR_LM_BA","Provo",NA,NA,26.79777778,NA,11.96133333,NA,NA,NA
"59",3,9,14,"PR_SnakeCreekRR","Provo",NA,NA,1.432333333,NA,0.274888889,NA,NA,NA
"60",3,9,14,"PR_SpringCreek","Provo",NA,NA,3.431333333,NA,0.167333333,NA,NA,NA
"61",3,9,14,"PR_ST_BA","Provo",0.0038,0.0038,0.795888889,0.0038,0.139111111,0.1751,0.0098,0.131511111
"62",3,9,14,"PR_Vivian","Provo",NA,NA,3.263777778,NA,0.554666667,NA,NA,NA
"63",4,2,15,"PR_BJ_AA","Provo",0.0018,0.0018,3.999,0.0018,0.261,0.209,0.011,0.2574
"64",4,2,15,"PR_CH_AA","Provo",NA,NA,4.035,NA,0.623,0.4706,0.0406,NA
"65",4,2,15,"PR_LM_BA","Provo",NA,NA,3.827,NA,0.193,0.1742,0.0138,NA
"66",4,2,15,"PR_ST_BA","Provo",0.005,0.005,NA,0.005,NA,0.1633,0.001,NA
"67",4,2,15,"RB_1300E","Red Butte",NA,NA,2.51,NA,NA,NA,NA,NA
"68",4,2,15,"RB_1300S","Red Butte",0.0119,0.1335,2.55,0.1335,2.355,0.2147,0.0123,2.2096
"69",4,2,15,"RB_ARBR_AA","Red Butte",NA,NA,1.67,NA,0.07,0.1646,0.005,NA
"70",4,2,15,"RB_CG_BA","Red Butte",NA,NA,1.46,NA,0.13,0.1309,0.0056,NA
"71",4,2,15,"RB_FD_AA","Red Butte",NA,NA,2.69,NA,0.09,NA,NA,NA
"72",4,2,15,"RB_JordanPipe","Red Butte",0.0124,0.101,NA,0.101,NA,0.15,0.005,NA
"73",4,2,15,"RB_KF_BA","Red Butte",NA,NA,NA,NA,NA,0.2311,0.0271,NA
"74",4,2,15,"RB_LDSWard","Red Butte",NA,NA,0.76,NA,2.88,NA,NA,NA
"75",4,2,15,"RB_RBG_BA","Red Butte",NA,NA,1.09,NA,0.08,NA,NA,NA
"76",4,3,15,"RB_1300E","Red Butte",0.0095,2.3946,0.889,2.3946,2.984,3.3168,0.005,0.5799
"77",4,3,15,"RB_1300S","Red Butte",0.0125,1.6086,1.292,1.6086,2.531,2.7574,0.01,0.9099
"78",4,3,15,"RB_ARBR_AA","Red Butte",0.0051,0.005,1.766,0.005,0.062,0.0698,0.0259,0.0519
"79",4,3,15,"RB_CG_BA","Red Butte",0.0099,0.0176,1.141,0.0176,0.129,0.0836,0.0104,0.1015
"80",4,3,15,"RB_FD_AA","Red Butte",0.0093,0.0573,1.248,0.0573,0.135,0.1556,0.0156,0.0684
"81",4,3,15,"RB_RBG_BA","Red Butte",0.0204,0.016,1.205,0.016,0.152,0.087,0.0194,0.1156
"82",4,9,14,"LR_Franklin_BA","Logan",NA,NA,0.5302222225,NA,NA,NA,NA,NA
"83",4,9,14,"LR_Mendon_AA","Logan",NA,NA,1.888133333,NA,NA,NA,NA,NA
"84",4,9,14,"LR_TonyGrove_BA","Logan",NA,NA,0.8435,NA,NA,NA,NA,NA
"85",4,9,14,"LR_WaterLab_AA","Logan",NA,NA,1.082833333,NA,NA,NA,NA,NA
"86",4,12,14,"LR_MainSt_BA","Logan",0.005,0.1322,0.729697,0.005,0.185668533,0.1432,0.005,0.048468533
"87",4,12,14,"LR_Mendon_AA","Logan",0.005,0.2075,0.962825,0.005,0.240234867,0.2906,0.0073,0.027734867
"88",4,12,14,"LR_WaterLab_AA","Logan",0.0063,0.1404,0.7298237,0.005,0.07865592,0.1859,0.0051,-0.06804408
"89",4,12,14,"PR_BJ_AA","Provo",2e-04,2e-04,3.85249,2e-04,0.131644733,0.2004,0.0114,0.131244733
"90",4,12,14,"PR_CH_AA","Provo",0.0186,0.0186,3.012831,0.0186,0.307529867,0.3839,0.0197,0.270329867
"91",4,12,14,"PR_LM_BA","Provo",0.005,0.005,3.1001635,0.005,0.1116336,0.1827,0.0084,0.1016336
"92",4,12,14,"PR_ST_BA","Provo",0.0041,0.0041,2.9350915,0.0041,0.266902467,0.1797,0.0016,0.258702467
"93",5,2,15,"LR_MainSt_BA","Logan",0.0067,0.1112,1.1,0.005,0.19,0.3388,0.005,0.0721
"94",5,2,15,"LR_Mendon_AA","Logan",0.0101,0.199,1.68,0.005,0.43,0.3691,0.0184,0.2209
"95",5,2,15,"LR_TonyGrove_BA","Logan",0.0101,0.0451,1.91,0.005,0.1,0.1169,0.0073,0.0448
"96",5,2,15,"LR_WaterLab_AA","Logan",0.005,0.121,1.28,0.005,0.23,0.2422,0.0121,0.104
"97",5,3,15,"LR_MainSt_BA","Logan",NA,NA,1.768,NA,0.152,NA,NA,NA
"98",5,3,15,"LR_Mendon_AA","Logan",NA,NA,0.967,NA,0.193,NA,NA,NA
"99",5,3,15,"LR_TonyGrove_BA","Logan",NA,NA,1.223,NA,0.102,NA,NA,NA
"100",5,3,15,"LR_WaterLab_AA","Logan",NA,NA,3.23,NA,0.113,NA,NA,NA
"101",5,3,15,"PR_BJ_AA","Provo",0.0074,0.0074,3.13,0.0074,0.217,NA,NA,0.2022
"102",5,3,15,"PR_CH_AA","Provo",0.0125,0.0125,NA,0.0125,NA,0.3877,0.0292,NA
"103",5,3,15,"PR_LM_BA","Provo",0.0094,0.0094,3.236,0.0094,0.245,0.1883,0.0082,0.2262
"104",5,3,15,"PR_ST_BA","Provo",0.007,0.007,NA,0.007,NA,0.1774,0.0031,NA
"105",6,1,15,"LR_MainSt_BA","Logan",0.0065,0.1799,0.674,0.005,0.218,0.2357,0.0066,0.0316
"106",6,1,15,"LR_Mendon_AA","Logan",0.1202,0.2819,NA,0.005,NA,0.5844,0.0102,NA
"107",6,1,15,"LR_TonyGrove_BA","Logan",NA,NA,1.006,NA,0.761,NA,NA,NA
"108",6,1,15,"LR_WaterLab_AA","Logan",0.009,0.1862,0.604,0.005,0.248,0.2968,0.0171,0.0528
"109",7,1,15,"PR_BJ_AA","Provo",0.0025,0.0025,3.329,0.0025,0.242,0.2131,0.0106,0.237
"110",7,1,15,"PR_CH_AA","Provo",0.0251,0.0251,3.109,0.0251,0.466,0.4523,0.0282,0.4158
"111",7,1,15,"PR_LM_BA","Provo",0.0105,0.0105,3.156,0.0105,0.224,0.2275,0.0142,0.203
"112",7,1,15,"PR_ST_BA","Provo",3e-04,3e-04,2.381,3e-04,0.209,0.2275,0.0021,0.2084
"113",7,7,15,"LR_Franklin_BA","Logan",0.0097,0.1027,1.22,0.005,0.146,0.1667,0.016,0.0336
"114",7,7,15,"LR_MainSt_BA","Logan",0.0101,0.0892,1.08,0.005,0.15,0.1609,0.0065,0.0507
"115",7,7,15,"LR_Mendon_AA","Logan",0.0101,0.084,1.89,0.005,0.314473,0.3792,0.0187,0.220373
"116",7,7,15,"LR_TonyGrove_BA","Logan",0.0136,0.0217,1.96,0.005,0.1056483,0.203,0.0135,0.0703483
"117",7,7,15,"LR_WaterLab_AA","Logan",0.0141,0.0697,1.71,0.005,0.145,0.1308,0.005,0.0612
"118",7,9,14,"LR_CanalGarff","Logan",0.0124,0.101,0.889333333,0.005,0.183111111,0.15,0.005,0.069711111
"119",7,9,14,"LR_Franklin_BA","Logan",0.0119,0.1335,NA,0.005,NA,0.2147,0.0123,NA
"120",7,9,14,"LR_HWY252","Logan",0.0145,0.1693,1.144166667,0.005,0.3125,NA,NA,0.1287
"121",7,9,14,"LR_MainSt_BA","Logan",0.005,0.101,NA,0.005,NA,NA,NA,NA
"122",7,9,14,"LR_Mendon_AA","Logan",0.0202,0.2099,NA,0.005,NA,NA,NA,NA
"123",7,9,14,"LR_Temple","Logan",0.0052,0.0317,1.777666667,0.005,0.226,0.0733,0.005,0.1891
"124",7,9,14,"LR_TonyGrove_BA","Logan",0.0183,0.0305,NA,0.005,NA,NA,NA,NA
"125",7,9,14,"LR_WaterLab_AA","Logan",0.0136,0.0976,NA,0.0092,NA,0.137,0.005,NA
"126",8,1,15,"LR_Franklin_BA","Logan",0.0063,0.1565,0.902,0.005,0.196,0.2221,0.0121,0.0332
"127",8,1,15,"LR_TonyGrove_BA","Logan",0.0071,0.1103,0.996,0.005,0.124,0.1732,0.0068,0.00660000000000001
"128",8,5,15,"PR_BJ_AA","Provo",0.0051,0.0051,3.197,0.0051,0.169,0.1888,0.0128,0.1588
"129",8,5,15,"PR_CH_AA","Provo",0.0231,0.0231,4.242,0.0231,0.268,NA,NA,0.2218
"130",8,5,15,"PR_LM_BA","Provo",NA,NA,3.334,NA,0.215,0.1512,0.0178,NA
